epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,6502.84,0.47544,0.76989,0.32209,0.96574,0.97257,0.95513,0.98352,0.81766,0.96574,0.94872,0.97485,0.80187,0.69546,1.2399,0.38082,1.07239,0.0007724,0.0007724,0.0007724
95,6573.97,0.46953,0.75671,0.32092,0.96596,0.96789,0.96604,0.97662,0.7891,0.96789,0.96604,0.97041,0.77961,0.75851,1.31683,0.38424,1.19404,0.0007592,0.0007592,0.0007592
96,6644.06,0.47074,0.77255,0.31849,0.97693,0.98641,0.97436,0.98435,0.80838,0.97992,0.96795,0.97816,0.78883,0.7012,1.27204,0.35483,1.11848,0.000746,0.000746,0.000746
97,6716.22,0.46401,0.73397,0.31276,0.96636,0.97503,0.97436,0.99077,0.81784,0.9622,0.96154,0.97883,0.79796,0.67538,1.23294,0.34466,1.08435,0.0007328,0.0007328,0.0007328
98,6785.58,0.4625,0.73368,0.31615,0.96336,0.96645,0.98077,0.98426,0.80816,0.96172,0.96619,0.9679,0.79476,0.69755,1.27702,0.36261,1.10394,0.0007196,0.0007196,0.0007196
99,6853.21,0.46242,0.74925,0.31571,0.96167,0.97375,0.9513,0.98964,0.79946,0.96063,0.93859,0.97015,0.78698,0.72784,1.25916,0.3706,1.15523,0.0007064,0.0007064,0.0007064
100,6921.55,0.45633,0.75436,0.30222,0.96351,0.94464,0.98447,0.97801,0.79349,0.95001,0.97436,0.97655,0.78839,0.73305,1.30897,0.38209,1.15549,0.0006932,0.0006932,0.0006932
101,6988.45,0.45719,0.73417,0.29869,0.95702,0.96316,0.96795,0.98239,0.81107,0.9504,0.95513,0.96923,0.79207,0.73137,1.37296,0.35513,1.1414,0.00068,0.00068,0.00068
102,7055.88,0.45464,0.72328,0.30283,0.95879,0.94962,0.96662,0.97347,0.79848,0.94332,0.96021,0.9661,0.78298,0.68721,1.31437,0.36613,1.12012,0.0006668,0.0006668,0.0006668
103,7124.47,0.45311,0.73871,0.31018,0.9569,0.98603,0.96795,0.99167,0.80644,0.97297,0.95513,0.97366,0.78992,0.71846,1.31485,0.3586,1.17052,0.0006536,0.0006536,0.0006536
104,7193.48,0.44884,0.73146,0.3048,0.95609,0.97712,0.97436,0.9802,0.79422,0.97058,0.96795,0.97467,0.77156,0.7484,1.31532,0.37728,1.21122,0.0006404,0.0006404,0.0006404
105,7261.46,0.43317,0.71079,0.2885,0.9506,0.96807,0.97191,0.98395,0.81042,0.95533,0.95975,0.96893,0.79507,0.71462,1.33475,0.35968,1.12422,0.0006272,0.0006272,0.0006272
106,7330.85,0.44035,0.7231,0.29368,0.95427,0.98032,0.9582,0.97787,0.81282,0.96459,0.94872,0.96539,0.80076,0.71582,1.31705,0.35386,1.15359,0.000614,0.000614,0.000614
107,7403.05,0.42794,0.70769,0.28155,0.94807,0.96508,0.95513,0.9738,0.79755,0.92589,0.96154,0.95056,0.78418,0.7306,1.36072,0.37646,1.21121,0.0006008,0.0006008,0.0006008
108,7470.46,0.43003,0.713,0.28977,0.95054,0.9834,0.9359,0.98066,0.80174,0.98255,0.9359,0.97938,0.78624,0.73558,1.22131,0.37892,1.19087,0.0005876,0.0005876,0.0005876
109,7540.15,0.4341,0.72921,0.29005,0.9452,0.96336,0.97436,0.98187,0.81284,0.96336,0.97436,0.9818,0.80214,0.70886,1.27759,0.3499,1.16043,0.0005744,0.0005744,0.0005744
110,7613.69,0.43507,0.70578,0.28927,0.95069,0.95923,0.96795,0.98171,0.80004,0.9464,0.95513,0.96379,0.78057,0.71833,1.32939,0.36826,1.15673,0.0005612,0.0005612,0.0005612
111,7681.02,0.42337,0.7107,0.28696,0.93947,0.96178,0.96791,0.98077,0.81281,0.95543,0.96183,0.96931,0.79782,0.67245,1.3381,0.36266,1.11695,0.000548,0.000548,0.000548
112,7749.71,0.4297,0.70908,0.29147,0.94882,0.9681,0.97264,0.99158,0.79803,0.94844,0.94331,0.95897,0.77811,0.734,1.3489,0.38823,1.1934,0.0005348,0.0005348,0.0005348
113,7817.88,0.41651,0.70145,0.2878,0.94188,0.95868,0.98077,0.98163,0.80457,0.93191,0.97436,0.96323,0.7931,0.73276,1.34092,0.38073,1.18733,0.0005216,0.0005216,0.0005216
114,7886.02,0.41532,0.68573,0.27848,0.93997,0.97312,0.97436,0.98897,0.80984,0.96671,0.96795,0.97431,0.79823,0.68769,1.29772,0.3405,1.12773,0.0005084,0.0005084,0.0005084
115,7953.53,0.41595,0.7026,0.28529,0.94079,0.97394,0.95844,0.97074,0.78527,0.9544,0.93921,0.93976,0.76418,0.72833,1.46666,0.35932,1.19666,0.0004952,0.0004952,0.0004952
116,8021.8,0.42118,0.68821,0.28534,0.94843,0.96182,0.96904,0.97454,0.80355,0.94914,0.95695,0.95835,0.7942,0.6961,1.37036,0.36112,1.10195,0.000482,0.000482,0.000482
117,8092.7,0.41447,0.69076,0.28424,0.94103,0.96484,0.96154,0.97897,0.78913,0.95198,0.94872,0.95422,0.77287,0.74204,1.43479,0.3772,1.20901,0.0004688,0.0004688,0.0004688
118,8161.07,0.41472,0.67597,0.27695,0.93851,0.9612,0.97436,0.98885,0.79987,0.95964,0.95513,0.95329,0.78129,0.72968,1.3927,0.36593,1.19811,0.0004556,0.0004556,0.0004556
119,8230.28,0.40145,0.67656,0.27999,0.93225,0.97741,0.97436,0.98338,0.80387,0.9642,0.96154,0.96623,0.7824,0.70645,1.39816,0.34262,1.15571,0.0004424,0.0004424,0.0004424
120,8303.27,0.40636,0.67604,0.277,0.93289,0.987,0.97314,0.98303,0.79625,0.974,0.96039,0.96604,0.78126,0.72656,1.41851,0.33928,1.18181,0.0004292,0.0004292,0.0004292
121,8371.84,0.41689,0.68256,0.2848,0.94497,0.9795,0.97436,0.9825,0.81139,0.97306,0.96795,0.97557,0.79268,0.68174,1.38567,0.33228,1.16085,0.000416,0.000416,0.000416
122,8438.41,0.40221,0.6864,0.27173,0.93569,0.98894,0.97436,0.99152,0.80455,0.96932,0.95513,0.9654,0.78518,0.7089,1.41331,0.3381,1.17291,0.0004028,0.0004028,0.0004028
123,8506.33,0.4022,0.65797,0.26802,0.93341,0.97977,0.98077,0.99224,0.79845,0.96056,0.96154,0.96862,0.78656,0.70966,1.35549,0.33339,1.17708,0.0003896,0.0003896,0.0003896
124,8573.79,0.38333,0.65097,0.26605,0.92658,0.98034,0.95883,0.99042,0.80568,0.96723,0.94601,0.97257,0.78285,0.70488,1.40667,0.34918,1.16994,0.0003764,0.0003764,0.0003764
125,8641.8,0.39841,0.66831,0.26703,0.93417,0.97669,0.96154,0.98255,0.80272,0.96319,0.94872,0.96446,0.79233,0.7043,1.41044,0.33802,1.16456,0.0003632,0.0003632,0.0003632
126,8709.75,0.38884,0.64264,0.26277,0.92464,0.97425,0.9701,0.98313,0.81069,0.97363,0.94677,0.97539,0.79577,0.67435,1.43923,0.34292,1.12845,0.00035,0.00035,0.00035
